"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Пользователь без взятых книг возвращает пустой список","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Регистрация дубликата вызывает ошибку","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","1","Удаление несуществующей книги вызывает ошибку","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Удалить пользователя без книг","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Пользователь не может взять ту же книгу дважды","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Пользователь берёт книгу","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Нельзя вернуть книгу, которая не была взята","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","1","Нельзя взять уже взятую книгу","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Нельзя выдать одну книгу дважды одному пользователю","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","1","Нельзя удалить взятую книгу","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Нельзя выдать несуществующую книгу","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Выдать книгу успешно","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Нельзя выдать уже выданную книгу","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Удалить книгу из библиотеки","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Создание книги","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Вернуть книгу успешно","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Взять книгу успешно","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","1","Создание пользователя","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","1","Получить взятые книги","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Нельзя удалить пользователя с взятыми книгами","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Вернуть взятую книгу","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Пустая библиотека имеет 0 книг и 0 пользователей","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Нельзя вернуть книгу, которую не брал","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Получить книги, взятые конкретным пользователем","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Пользователь возвращает книгу","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Зарегистрировать нового пользователя","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","1","Строковое представление библиотеки","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Возврат доступной книги ничего не делает","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Поиск книг по автору","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Поиск книг по названию","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Поиск книг по ISBN","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Нельзя вернуть книгу, взятую другим пользователем","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","1","Получить доступные книги","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
"","0","Добавить книгу в библиотеку","","Fri May 22 05:56:37 UTC 2026","passed","Fri May 22 05:56:37 UTC 2026","","test_library","",""
