"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Строковое представление библиотеки","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Нельзя взять уже взятую книгу","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Получить книги, взятые конкретным пользователем","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Возврат доступной книги ничего не делает","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Пользователь возвращает книгу","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Взять книгу успешно","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Нельзя выдать уже выданную книгу","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Вернуть книгу успешно","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Пользователь не может взять ту же книгу дважды","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Добавить книгу в библиотеку","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Создание пользователя","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Выдать книгу успешно","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Поиск книг по автору","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","1","Нельзя вернуть книгу, которая не была взята","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Создание книги","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Нельзя выдать несуществующую книгу","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","1","Нельзя вернуть книгу, которую не брал","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Удаление несуществующей книги вызывает ошибку","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Получить доступные книги","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Пользователь без взятых книг возвращает пустой список","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Удалить пользователя без книг","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Вернуть взятую книгу","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Удалить книгу из библиотеки","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Нельзя удалить взятую книгу","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","1","Нельзя удалить пользователя с взятыми книгами","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Нельзя выдать одну книгу дважды одному пользователю","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Поиск книг по ISBN","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Поиск книг по названию","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Пользователь берёт книгу","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Пустая библиотека имеет 0 книг и 0 пользователей","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Нельзя вернуть книгу, взятую другим пользователем","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Получить взятые книги","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Зарегистрировать нового пользователя","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
"","0","Регистрация дубликата вызывает ошибку","","Fri Apr 24 04:46:07 UTC 2026","passed","Fri Apr 24 04:46:07 UTC 2026","","test_library","",""
