"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Зарегистрировать нового пользователя","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Получить доступные книги","","2026-06-05","passed","2026-06-05","","test_library","",""
"","1","Нельзя выдать несуществующую книгу","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Нельзя удалить взятую книгу","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Строковое представление библиотеки","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Добавить книгу в библиотеку","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Нельзя вернуть книгу, которую не брал","","2026-06-05","passed","2026-06-05","","test_library","",""
"","1","Нельзя выдать одну книгу дважды одному пользователю","","2026-06-05","passed","2026-06-05","","test_library","",""
"","1","Пользователь не может взять ту же книгу дважды","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Регистрация дубликата вызывает ошибку","","2026-06-05","passed","2026-06-05","","test_library","",""
"","1","Вернуть книгу успешно","","2026-06-05","passed","2026-06-05","","test_library","",""
"","1","Пустая библиотека имеет 0 книг и 0 пользователей","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Получить книги, взятые конкретным пользователем","","2026-06-05","passed","2026-06-05","","test_library","",""
"","1","Взять книгу успешно","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Поиск книг по названию","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Пользователь берёт книгу","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Удалить пользователя без книг","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Пользователь возвращает книгу","","2026-06-05","passed","2026-06-05","","test_library","",""
"","1","Нельзя вернуть книгу, взятую другим пользователем","","2026-06-05","passed","2026-06-05","","test_library","",""
"","1","Нельзя вернуть книгу, которая не была взята","","2026-06-05","passed","2026-06-05","","test_library","",""
"","1","Вернуть взятую книгу","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Создание книги","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Нельзя удалить пользователя с взятыми книгами","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Нельзя выдать уже выданную книгу","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Возврат доступной книги ничего не делает","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Создание пользователя","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Получить взятые книги","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Поиск книг по ISBN","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Пользователь без взятых книг возвращает пустой список","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Выдать книгу успешно","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Удалить книгу из библиотеки","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Нельзя взять уже взятую книгу","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Удаление несуществующей книги вызывает ошибку","","2026-06-05","passed","2026-06-05","","test_library","",""
"","0","Поиск книг по автору","","2026-06-05","passed","2026-06-05","","test_library","",""
